session,eligible_assets,gross,net,turnover,turnover_limit,forecast_volatility,risk_scaler,net_budget_ratio,maximum_factor_budget_ratio,maximum_sleeve_budget_ratio,exposure_equity,exposure_duration,exposure_credit,exposure_commodity,exposure_usd
2008-01-08,16,0.2500000000314837,0.25000000002935724,0.2500000000314837,0.25,0.019502562331203035,1.0,0.41666666671559544,0.10666666668492605,0.25000000001516276,2.1752346458279272e-12,0.010000000005304406,3.8376910857241017e-13,0.05333333334246303,-0.03000000000582933
2008-01-15,16,0.5048980644570568,0.5048980644434343,0.25000000009869816,0.25,0.036384254602559694,1.0,0.8414967740723905,0.27658489468897823,0.460650956861659,2.222777627927507e-12,0.06898226792500294,1.2977014240388418e-12,0.13829244734448912,-0.06855224709831279
2008-01-23,16,0.7450820556618875,0.6000000000332913,0.25000000006111256,0.25,0.0603032077999593,1.0,1.0000000000554856,0.36000000004050314,0.6209017129836738,-0.0461624722359014,0.09934427409130518,2.187756709834756e-12,0.18000000002025157,-0.09000000001444268
2008-01-30,16,0.9708985447968422,0.6000000000135279,0.25000000001453115,0.25,0.09802291103276167,1.0,1.0000000000225466,0.5486436665959578,0.6965038193579692,-0.13090381783368593,0.09741494419312707,2.459345814962677e-12,0.2743218332979789,-0.12537068749460512
2008-02-06,16,1.000000000106417,0.6000000000846448,0.0421937961349696,0.25,0.09856521397968221,1.0,1.0000000001410747,0.5382322767947114,0.6856586216410134,-0.14545454545987252,0.10362795389714374,4.075225611845826e-12,0.2691161383973557,-0.12341855190954876
2008-02-13,16,1.0000000000283253,0.6000000000231326,0.24999999999539535,0.25,0.09576987476377531,1.0,1.0000000000385543,0.4075723957178945,0.6351150178949102,-0.14552530880846737,0.10108075236617545,6.333270695806323e-13,0.20378619785894725,-0.1256792967858511
2008-02-21,16,1.000000000091818,0.6000000000440044,0.07976440013965608,0.25,0.09390102836415912,1.0,1.0000000000733409,0.38720192862400143,0.6243309226490878,-0.1488965461321135,0.09856519982835292,2.214933137032489e-12,0.19360096431200072,-0.12762043394085903
2008-02-28,16,1.000000000091808,0.6000000000647916,0.014417656926079964,0.25,0.09509521418316806,1.0,1.000000000107986,0.393597815669314,0.6163360638444004,-0.14884979445086904,0.09724515176749302,2.403279836109326e-12,0.196798907834657,-0.12905950852783182
2008-03-06,17,1.0000000000483122,0.6000000000260299,0.02038179731784857,0.25,0.09377822632864148,1.0,1.0000000000433833,0.39503799481385443,0.6150740621143288,-0.1520379323476958,0.09698962247892141,1.1838067401971114e-12,0.19751899740692722,-0.1292866688276776
2008-03-13,17,1.000000000096281,0.6000000000397576,0.01974849611943555,0.25,0.09589245927200149,1.0,1.0000000000662628,0.4010463641167271,0.6070253782581074,-0.15256529632229154,0.09574227097289774,1.945376888326585e-12,0.20052318205836356,-0.13073543192901588
2008-03-20,17,1.0000000000287057,0.6000000000065184,0.18152661430451486,0.25,0.10000000000112923,1.0,1.0000000000108642,0.42770412574381705,0.564073019030393,-0.16517912366551224,0.09025168304681108,6.025705860540603e-13,0.21385206287190853,-0.13846685657604388
2008-03-28,17,1.0000000000547897,0.6000000000184904,0.03700259629936962,0.25,0.10000000000602399,1.0,1.0000000000308173,0.4306551333232852,0.5566955000944267,-0.16952692544642894,0.08838913656207173,1.043183170952764e-12,0.2153275666616426,-0.13979480999708707
2008-04-04,17,1.0000000000959766,0.6000000000256785,0.226737301837034,0.25,0.10000000000362082,1.0,1.0000000000427975,0.4468734476308185,0.5161497143966947,-0.199830418285278,0.0822991483486026,1.2012551316340021e-12,0.22343672381540924,-0.14709305143412169
2008-04-11,18,0.9999999999904288,0.5999999999928539,0.0171594262571113,0.25,0.09999999999930982,1.0,0.9999999999880899,0.4459686447676429,0.518269271663067,-0.1955929646066234,0.08292308346583477,2.264871117054764e-13,0.22298432238382146,-0.15111856648453115
2008-04-18,19,0.9999999998938395,0.5999999999200172,0.2500000001220658,0.25,0.08823085141989868,1.0,0.9999999998666953,0.39106532594193955,0.7076752983924406,-0.19553266297096977,0.1129881135577667,3.704210379388548e-12,0.16215156288557903,-0.1170857832572599
2008-04-25,19,1.000000000149825,0.600000000074567,0.25000000008561485,0.25,0.0988517922794448,1.0,1.0000000001242784,0.4920709297566095,0.5770968147126667,-0.19542411397431914,0.0762901544776708,-5.955462870097252e-12,0.24603546487830474,-0.14069845944214393
2008-05-02,19,1.0000000000400844,0.6000000000179116,0.08515683393554598,0.25,0.10000000000166125,1.0,1.0000000000298528,0.5192676502279575,0.5972292543302286,-0.1953033640042778,0.07979403781489088,-7.223686998060481e-12,0.25963382511397876,-0.13719537022976003
2008-05-09,19,1.0000000000182934,0.6000000000133667,0.10473491226990615,0.25,0.09646046825285326,1.0,1.000000000022278,0.5190080981261049,0.5977148145682268,-0.1500937538723229,0.0805783365166336,7.00000371593844e-13,0.25950404906305247,-0.1823175795104447
2008-05-16,19,1.0000000000116553,0.6000000000084545,0.1344025591951168,0.25,0.0932248842941021,1.0,1.000000000014091,0.6124544302877314,0.7457270726019369,-0.08814093910982158,0.08000742870253011,5.054062198005523e-13,0.2598910333903867,-0.2449817721150926
