session,sleeve_return,allocation_cost,net_return,gross_allocation
2018-01-02,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0
2018-01-10,0.0,0.0,0.0,0.0
2018-01-11,0.0,0.0,0.0,0.0
2018-01-12,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0
2018-01-17,0.0,0.0,0.0,0.0
2018-01-18,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0,0.0
2018-01-23,0.0,0.0,0.0,0.0
2018-01-24,0.0,0.0,0.0,0.0
2018-01-25,0.0,0.0,0.0,0.0
2018-01-26,0.0,0.0,0.0,0.0
2018-01-29,0.0,0.0,0.0,0.0
2018-01-30,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0
2018-02-02,0.0,0.0,0.0,0.0
2018-02-05,0.0,0.0,0.0,0.0
2018-02-06,0.0,0.0,0.0,0.0
2018-02-07,0.0,0.0,0.0,0.0
2018-02-08,0.0,0.0,0.0,0.0
2018-02-09,0.0,0.0,0.0,0.0
2018-02-12,0.0,0.0,0.0,0.0
2018-02-13,0.0,0.0,0.0,0.0
2018-02-14,0.0,0.0,0.0,0.0
2018-02-15,0.0,0.0,0.0,0.0
2018-02-16,0.0,0.0,0.0,0.0
2018-02-20,0.0,0.0,0.0,0.0
2018-02-21,0.0,0.0,0.0,0.0
2018-02-22,0.0,0.0,0.0,0.0
2018-02-23,0.0,0.0,0.0,0.0
2018-02-26,0.0,0.0,0.0,0.0
2018-02-27,0.0,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0
2018-03-02,0.0,0.0,0.0,0.0
2018-03-05,0.0,0.0,0.0,0.0
2018-03-06,0.0,0.0,0.0,0.0
2018-03-07,0.0,0.0,0.0,0.0
2018-03-08,0.0,0.0,0.0,0.0
2018-03-09,0.0,0.0,0.0,0.0
2018-03-12,0.0,0.0,0.0,0.0
2018-03-13,0.0,0.0,0.0,0.0
2018-03-14,0.0,0.0,0.0,0.0
2018-03-15,0.0,0.0,0.0,0.0
2018-03-16,0.0,0.0,0.0,0.0
2018-03-19,0.0,0.0,0.0,0.0
2018-03-20,0.0,0.0,0.0,0.0
2018-03-21,0.0,0.0,0.0,0.0
2018-03-22,0.0,0.0,0.0,0.0
2018-03-23,0.0,0.0,0.0,0.0
2018-03-26,0.0,0.0,0.0,0.0
2018-03-27,0.0,0.0,0.0,0.0
2018-03-28,0.0,0.0,0.0,0.0
2018-03-29,0.0,0.0,0.0,0.0
2018-04-02,0.0,0.0,0.0,0.0
2018-04-03,0.0,0.0,0.0,0.0
2018-04-04,0.0,0.0,0.0,0.0
2018-04-05,0.0,0.0,0.0,0.0
2018-04-06,0.0,0.0,0.0,0.0
2018-04-09,0.0,0.0,0.0,0.0
2018-04-10,0.0,0.0,0.0,0.0
2018-04-11,0.0,0.0,0.0,0.0
2018-04-12,0.0,0.0,0.0,0.0
2018-04-13,0.0,0.0,0.0,0.0
2018-04-16,0.0,0.0,0.0,0.0
2018-04-17,0.0,0.0,0.0,0.0
2018-04-18,0.0,0.0,0.0,0.0
2018-04-19,0.0,0.0,0.0,0.0
2018-04-20,0.0,0.0,0.0,0.0
2018-04-23,0.0,0.0,0.0,0.0
2018-04-24,0.0,0.0,0.0,0.0
2018-04-25,0.0,0.0,0.0,0.0
2018-04-26,0.0,0.0,0.0,0.0
2018-04-27,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0
2018-05-02,0.0,0.0,0.0,0.0
2018-05-03,0.0,0.0,0.0,0.0
2018-05-04,0.0,0.0,0.0,0.0
2018-05-07,0.0,0.0,0.0,0.0
2018-05-08,0.0,0.0,0.0,0.0
2018-05-09,0.0,0.0,0.0,0.0
2018-05-10,0.0,0.0,0.0,0.0
2018-05-11,0.0,0.0,0.0,0.0
2018-05-14,0.0,0.0,0.0,0.0
2018-05-15,0.0,0.0,0.0,0.0
2018-05-16,0.0,0.0,0.0,0.0
2018-05-17,0.0,0.0,0.0,0.0
2018-05-18,0.0,0.0,0.0,0.0
2018-05-21,0.0,0.0,0.0,0.0
2018-05-22,0.0,0.0,0.0,0.0
2018-05-23,0.0,0.0,0.0,0.0
2018-05-24,0.0,0.0,0.0,0.0
2018-05-25,0.0,0.0,0.0,0.0
2018-05-29,0.0,0.0,0.0,0.0
2018-05-30,0.0,0.0,0.0,0.0
2018-05-31,0.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0
2018-06-04,0.0,0.0,0.0,0.0
2018-06-05,0.0,0.0,0.0,0.0
2018-06-06,0.0,0.0,0.0,0.0
2018-06-07,0.0,0.0,0.0,0.0
2018-06-08,0.0,0.0,0.0,0.0
2018-06-11,0.0,0.0,0.0,0.0
2018-06-12,0.0,0.0,0.0,0.0
2018-06-13,0.0,0.0,0.0,0.0
2018-06-14,0.0,0.0,0.0,0.0
2018-06-15,0.0,0.0,0.0,0.0
2018-06-18,0.0,0.0,0.0,0.0
2018-06-19,0.0,0.0,0.0,0.0
2018-06-20,0.0,0.0,0.0,0.0
2018-06-21,0.0,0.0,0.0,0.0
2018-06-22,0.0,0.0,0.0,0.0
2018-06-25,0.0,0.0,0.0,0.0
2018-06-26,0.0,0.0,0.0,0.0
2018-06-27,0.0,0.0,0.0,0.0
2018-06-28,0.0,0.0,0.0,0.0
2018-06-29,0.0,0.0,0.0,0.0
2018-07-02,0.0,0.0,0.0,0.0
2018-07-03,-7.598154524163859e-05,0.0005,-0.0005759815452416386,1.0
2018-07-05,-0.00019821885776531167,0.0,-0.00019821885776531167,1.0000000000000002
2018-07-06,-0.0002671028673347694,0.0,-0.0002671028673347694,1.0000000000000002
2018-07-09,-3.787732320630436e-05,0.0,-3.787732320630436e-05,1.0000000000000002
2018-07-10,9.276882412073848e-05,0.0,9.276882412073848e-05,1.0
2018-07-11,-0.00011654280475549512,0.0,-0.00011654280475549512,1.0
2018-07-12,-4.213059013290399e-05,0.0,-4.213059013290399e-05,0.9999999999999999
2018-07-13,-0.00011288153879390383,0.0,-0.00011288153879390383,1.0
2018-07-16,-0.00044693308990758815,0.0,-0.00044693308990758815,0.9999999999999998
2018-07-17,-0.00023531422980175573,0.0,-0.00023531422980175573,1.0
2018-07-18,3.548321929100441e-05,0.0,3.548321929100441e-05,0.9999999999999999
2018-07-19,-0.00021030521954892108,0.0,-0.00021030521954892108,0.9999999999999999
2018-07-20,-0.00025664376306670593,0.0,-0.00025664376306670593,1.0
2018-07-23,3.1662032576792185e-05,0.0,3.1662032576792185e-05,1.0
2018-07-24,-0.0001814384034481531,0.0,-0.0001814384034481531,0.9999999999999999
2018-07-25,-0.00011222884783313543,0.0,-0.00011222884783313543,1.0
2018-07-26,0.0003278044373618519,0.0,0.0003278044373618519,0.9999999999999999
2018-07-27,-0.0004040476691076241,0.0,-0.0004040476691076241,1.0
