symbol,decision_date,research_weight,approved_weight,status
XLE,2026-09-18,-0.06755936801702296,0.0,REJECTED_RESEARCH_ONLY_CASH
VDE,2026-09-18,0.06755936801702325,0.0,REJECTED_RESEARCH_ONLY_CASH
XLF,2026-09-18,0.0068241450869133986,0.0,REJECTED_RESEARCH_ONLY_CASH
VFH,2026-09-18,-0.006824145086913405,0.0,REJECTED_RESEARCH_ONLY_CASH
XLP,2026-09-18,0.04836665570185959,0.0,REJECTED_RESEARCH_ONLY_CASH
VDC,2026-09-18,-0.04836665570185956,0.0,REJECTED_RESEARCH_ONLY_CASH
XLV,2026-09-18,-0.058253749202827124,0.0,REJECTED_RESEARCH_ONLY_CASH
VHT,2026-09-18,0.05825374920282716,0.0,REJECTED_RESEARCH_ONLY_CASH
XLI,2026-09-18,-0.09417219625760746,0.0,REJECTED_RESEARCH_ONLY_CASH
VIS,2026-09-18,0.09417219625760741,0.0,REJECTED_RESEARCH_ONLY_CASH
XLK,2026-09-18,0.012451999451365497,0.0,REJECTED_RESEARCH_ONLY_CASH
VGT,2026-09-18,-0.012451999451366044,0.0,REJECTED_RESEARCH_ONLY_CASH
XLY,2026-09-18,-0.06324733566909814,0.0,REJECTED_RESEARCH_ONLY_CASH
VCR,2026-09-18,0.06324733566909771,0.0,REJECTED_RESEARCH_ONLY_CASH
XLU,2026-09-18,0.018709808081009794,0.0,REJECTED_RESEARCH_ONLY_CASH
VPU,2026-09-18,-0.018709808081009808,0.0,REJECTED_RESEARCH_ONLY_CASH
XLB,2026-09-18,0.03964002990641659,0.0,REJECTED_RESEARCH_ONLY_CASH
VAW,2026-09-18,-0.03964002990641659,0.0,REJECTED_RESEARCH_ONLY_CASH
XLRE,2026-09-18,-0.04486730711811805,0.0,REJECTED_RESEARCH_ONLY_CASH
VNQ,2026-09-18,0.04486730711811797,0.0,REJECTED_RESEARCH_ONLY_CASH
XLC,2026-09-18,0.045907405507761644,0.0,REJECTED_RESEARCH_ONLY_CASH
VOX,2026-09-18,-0.04590740550776084,0.0,REJECTED_RESEARCH_ONLY_CASH
