session,eligible_assets,gross,net,turnover,forecast_volatility,net_budget_ratio,maximum_factor_budget_ratio,maximum_sleeve_budget_ratio,exposure_equity,exposure_duration,exposure_credit,exposure_commodity,exposure_usd
2008-01-08,16,0.25000000002567246,0.049999999995301844,0.25000000002567246,0.03483082521407551,0.14285714284371956,0.2545454545897689,0.37500000001071027,-0.06363636364744223,0.01000000000150721,-4.053646307186403e-13,3.378438269611314e-12,-1.2709167052872833e-12
2008-01-15,16,0.5002838983180208,-0.09971610168887181,0.2500000000022959,0.07787992569411527,0.2849031476824909,0.9818181818274211,0.7500000000057969,-0.24545454545685527,0.010000000001134561,-3.447570175427086e-13,0.03352259887400982,-0.01508516949318632
2008-01-23,16,0.7260672425695067,0.1260672425432686,0.25000000002136646,0.08843750327723755,0.360192121552196,0.9818181818550855,0.7500000000250964,-0.24545454546377138,0.08000000000186142,-7.443314680654113e-13,0.07377209766520845,-0.03782017276353475
2008-01-30,16,0.9708953336300564,0.3500000000025637,0.25000000003291567,0.1000000008623192,1.000000000007325,1.0000000000407188,0.8717280769718072,-0.2500000000101797,0.0896333178520226,-0.0022389873263328613,0.18065579855503425,-0.09112788566404582
2008-02-06,16,0.999999999980845,0.34999999999212605,0.03314568968008702,0.09999999999913674,0.9999999999775031,0.9999999999769127,0.9042895977949108,-0.24999999999422817,0.09348099388852314,-0.002232422406973815,0.1763516256010008,-0.08711980703520202
2008-02-13,16,1.0000000000064313,0.3500000000012944,0.056397664118487734,0.10000000000218552,1.0000000000036984,1.000000000007075,0.8992180808183081,-0.25000000000176875,0.08224052301476004,-0.010138478107895867,0.18271563174010672,-0.09207294623225701
2008-02-21,16,1.0000000000064588,0.3500000000019924,0.038402652344104705,0.10000000000114968,1.0000000000056926,1.0000000000086575,0.8853710879147398,-0.2500000000021644,0.0812621427490421,-0.009194442242488046,0.18417031296791536,-0.09379951683860185
2008-02-28,16,0.9999999999743123,0.3499999999972816,0.2312777035953448,0.09999999999822738,0.9999999999922332,0.9999999999489035,0.7506712640277113,-0.24999999998722588,0.05751977182634002,-0.009123845757628177,0.18535040979580736,-0.11377563568678786
2008-03-06,17,0.9999999999705924,0.3499999999930043,0.07961853608093494,0.09849767299381722,0.9999999999800123,0.9999999999185307,0.7582367746769638,-0.24999999997963268,0.0712175439231651,-2.830097267647602e-13,0.18579323673546977,-0.12869981758850368
2008-03-13,17,1.0000000000170852,0.350000000003134,0.027095394187618606,0.10000000000234924,1.0000000000089544,1.0000000000208469,0.7530036275137504,-0.2500000000052117,0.06806683647296538,-2.932591495217311e-14,0.189217287045758,-0.13262071028338732
2008-03-20,17,0.9999999999808609,0.34999999999725384,0.11952416830396351,0.09999999999804587,0.9999999999921539,0.999999999969625,0.7231741354507966,-0.24999999999240624,0.06632886045004685,9.814333510471546e-14,0.1816447064935306,-0.14542435645821167
